Object,ID,SampleLabel,Size,Distance,Year,Effort,Area,Transect,Station,Easting,Northing,Elevation,HabCode,Stratum
421,,12.22,1,,2002,1,0,12,22,259711,2197612,1567,Wet,OF
422,,12.23,1,,2002,1,0,12,23,259883,2197661,1558,Wet,OF
423,,12.24,1,,2002,1,0,12,24,260056,2197710,1545,Wet,OF
424,,12.25,1,,2002,1,0,12,25,260238,2197758,1532,Wet,OF
425,,12.26,1,,2002,1,0,12,26,260407,2197807,1512,Wet,OF
426,,12.27,1,,2002,1,0,12,27,260580,2197856,1505,Wet,OF
427,,12.28,1,,2002,1,0,12,28,260757,2197909,1478,Wet,OF
428,,12.29,1,,2002,1,0,12,29,260935,2197956,1469,Wet,OF
429,,13.01,1,,2002,1,0,13,01,256549,2198181,1786,Wet,OF
430,,13.02,1,,2002,1,0,13,02,256739,2198256,1762,Wet,OF
431,,13.03,1,,2002,1,0,13,03,256918,2198296,1750,Mesic,OF
432,,13.04,1,,2002,1,0,13,04,257114,2198362,1735,Mesic,OF
433,,13.06,1,,2002,1,0,13,06,257496,2198471,1699,Mesic,OF
434,,13.07,1,,2002,1,0,13,07,257682,2198523,1678,Mesic,OF
435,,13.08,1,,2002,1,0,13,08,257869,2198566,1660,Mesic,OF
436,,13.09,1,,2002,1,0,13,09,258055,2198619,1649,Mesic,OF
437,,13.10,1,,2002,1,0,13,10,258242,2198672,1638,Mesic,OF
438,,13.11,1,,2002,1,0,13,11,258429,2198724,1628,Mesic,OF
439,,13.12,1,,2002,1,0,13,12,258615,2198777,1611,Mesic,OF
440,,13.13,1,,2002,1,0,13,13,258798,2198834,1602,Wet,OF
441,,13.14,1,,2002,1,0,13,14,258979,2198877,1593,Wet,OF
442,,13.15,1,,2002,1,0,13,15,259170,2198926,1578,Wet,OF
443,,13.16,1,,2002,1,0,13,16,259360,2198972,1559,Wet,OF
444,,13.17,1,,2002,1,0,13,17,259533,2199020,1545,Wet,OF
445,,13.18,1,,2002,1,0,13,18,259713,2199092,1521,Wet,OF
446,,13.19,1,,2002,1,0,13,19,259886,2199184,1511,Wet,OF
447,,13.20,1,,2002,1,0,13,20,260091,2199206,1499,Wet,OF
448,,13.21,1,,2002,1,0,13,21,260278,2199253,1486,Wet,OF
449,,13.22,1,,2002,1,0,13,22,260450,2199291,1466,Wet,OF
450,,13.23,1,,2002,1,0,13,23,260641,2199336,1449,Wet,OF
451,,13.24,1,,2002,1,0,13,24,260815,2199374,1441,Wet,OF
452,,13.25,1,,2002,1,0,13,25,260999,2199429,1426,Wet,OF
453,,13.26,1,,2002,1,0,13,26,261181,2199450,1415,Wet,OF
454,,14.01,1,,2002,1,0,14,01,256465,2199182,1780,Wet,OF
455,,14.02,1,,2002,1,0,14,02,256652,2199237,1750,Wet,OF
456,,14.03,1,,2002,1,0,14,03,256825,2199288,1730,Mesic,OF
457,,14.04,1,,2002,1,0,14,04,257034,2199330,1723,Mesic,OF
458,,14.05,1,,2002,1,0,14,05,257206,2199351,1711,Wet,OF
459,,14.06,1,,2002,1,0,14,06,257394,2199418,1691,Wet,OF
460,,14.07,1,,2002,1,0,14,07,257588,2199460,1681,Mesic,OF
461,,14.08,1,,2002,1,0,14,08,257781,2199523,1655,Wet,OF
462,,14.09,1,,2002,1,0,14,09,257974,2199570,1645,Wet,OF
463,,14.10,1,,2002,1,0,14,10,258209,2199643,1621,Wet,OF
464,,14.11,1,,2002,1,0,14,11,258366,2199681,1611,Wet,OF
465,,14.12,1,,2002,1,0,14,12,258549,2199739,1598,Mesic,OF
466,,14.13,1,,2002,1,0,14,13,258753,2199794,1584,Mesic,OF
467,,14.14,1,,2002,1,0,14,14,258932,2199815,1572,Wet,OF
468,,14.15,1,,2002,1,0,14,15,259128,2199886,1567,Wet,OF
469,,14.16,1,,2002,1,0,14,16,259300,2199945,1551,Wet,OF
470,,14.17,1,,2002,1,0,14,17,259476,2199988,1532,Wet,OF
471,,14.18,1,,2002,1,0,14,18,259659,2200027,1525,Wet,OF
472,,14.19,1,,2002,1,0,14,19,259837,2200101,1508,Wet,OF
473,,14.20,1,,2002,1,0,14,20,259997,2200186,1492,Wet,OF
474,,14.21,1,,2002,1,0,14,21,260178,2200240,1479,Wet,OF
475,,14.22,1,,2002,1,0,14,22,260358,2200271,1461,Wet,OF
476,,14.23,1,,2002,1,0,14,23,260544,2200305,1448,Wet,OF
477,,14.24,1,,2002,1,0,14,24,260728,2200365,1437,Wet,OF
478,,14.25,1,,2002,1,0,14,25,260895,2200404,1419,Wet,OF
479,,14.26,1,,2002,1,0,14,26,261069,2200449,1406,Wet,OF
